ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q15920021,Chiang Wan-an,politician and lawyer,None,蔣萬安,None,None,Kuomintang
Q16199556,Ma Xiao,Chinese Muslim brigade commander,None,None,None,None,Kuomintang
Q16260373,霍揆章,None,None,霍揆章,None,None,Kuomintang
Q16905107,張齡,None,None,張齡,None,None,Kuomintang
Q22773797,Pai Pei-Ying,Taiwanese politician,None,白培英,None,None,Kuomintang
Q22101034,洪榮華,None,None,洪榮華,None,None,Kuomintang
Q19825302,Mao Zhu Quan,Nationalist China's first Justice Minister,None,茅祖權,None,None,Kuomintang
Q18653933,林建甫,None,None,林建甫,None,None,Kuomintang
Q20689197,闕枚莎,politician,None,闕枚莎,None,None,Kuomintang
Q28408548,Wu Rongxing,None,None,吳榮興,None,None,Kuomintang
Q27888825,乔家才,None,None,乔家才,None,None,Kuomintang
Q710060,Huang Chih-hsiung,Taekwondo practitioner,Chih-hsiung Huang,黃志雄,None,None,Kuomintang
Q715841,Yang Hucheng,Chinese warlord,None,杨虎城,饱受争议的将领,楊虎城,Kuomintang
Q759889,Wang Yun-wu,Chinese scholar and politician,Wang Yunwu,王雲五,中國出版家,王云五,Kuomintang
Q56260541,蘇德良,None,None,蘇德良,None,None,Kuomintang
Q56570194,唐縱,None,None,唐縱,None,None,Kuomintang
Q6753585,Mao Gao-wen,Taiwanese politician and chemist,None,毛高文,None,None,Kuomintang
Q6137706,Tang Yulin,Chinese warlord,None,汤玉麟,None,湯玉麟,Kuomintang
Q6163836,Jason Yuan,Taiwanese diplomat,None,袁健生,None,None,Kuomintang
Q5443370,Feng Zhi'an,Chinese general,Feng Chih-an,冯治安,None,None,Kuomintang
Q4118817,Jiang Yi-huah,Taiwanese politician,None,江宜樺,None,None,Kuomintang
Q197358,Zhang Zuolin,Taiwanese warlord and politician,Zhang Zuolin,張作霖,中国政治人物,张作霖,Kuomintang
Q379836,Liang Qichao,"Chinese historian, philosopher and reformist",ren gong,梁启超,中国思想家和政治家,饮冰子,Kuomintang
Q281540,Sean Chen,Taiwanese politician,Chen Chun,陳沖,中華民國行政院院長,None,Kuomintang
Q176578,Mikhail Borodin,Comintern agent,Mikhail Gruzenberg,米哈伊尔·马尔科维奇·鲍罗廷,None,None,Kuomintang
Q4391780,Masud Sabri,Chinese general,None,麦斯武德,None,麥斯武德,Kuomintang
Q8270170,Hsu Shui-teh,Taiwanese politician,None,許水德,None,None,Kuomintang
Q8270344,桂崇基,None,None,桂崇基,None,None,Kuomintang
Q8272200,Chen Che-nan,Taiwanese politician,Chen Zhenan,陳哲男,台湾政治人物,陈哲男,Kuomintang
Q8272415,許登宮,politician,None,許登宮,None,None,Kuomintang
Q8272586,Qin Jinsheng,Taiwanese politician,Qin Jin Sheng,秦金生,None,None,Kuomintang
Q8272841,Xie Chi,None,Huisheng,謝持,None,None,Kuomintang
Q8273004,Chen Chien-jen,Taiwanese diplomat,Chen Jianren,程建人,台湾外交官,None,Kuomintang
Q8273087,周德偉,None,None,周德偉,None,None,Kuomintang
Q8273140,Chu Fong-chi,Taiwanese politician,None,朱鳳芝,None,None,Kuomintang
Q8273367,关镛,None,None,关镛,None,None,Kuomintang
Q8273567,黃平洋,None,None,黃平洋,None,None,Kuomintang
Q8273865,Daniel Hwang,None,Hwang Yi-jau,黃義交,None,None,Kuomintang
Q8274243,金介壽,None,None,金介壽,None,None,Kuomintang
Q8274261,Kung Wen-chi,politician,Yosi Takun,孔文吉,None,尤稀·達袞,Kuomintang
Q8274358,李希成,None,None,李希成,None,None,Kuomintang
Q8274418,Lin Hui-kuan,None,None,林惠官,None,None,Kuomintang
Q8274766,劉光華,None,None,劉光華,None,None,Kuomintang
Q8274819,Liu Hsien-tong,None,None,劉憲同,None,None,Kuomintang
Q8275472,羅萬俥,None,None,羅萬俥,None,None,Kuomintang
Q8275595,Ming Ji,None,None,明驥,None,None,Kuomintang
Q8275841,丘国富,None,None,丘国富,None,None,Kuomintang
Q8263971,聶仰華,None,None,聶仰華,None,None,Kuomintang
Q8277644,Wang Zhixiong,Taiwanese politician,Zhixiong Wang,王志雄,None,None,Kuomintang
Q8278130,徐益權,None,None,徐益權,None,None,Kuomintang
Q8278173,Hsu Sheng-fa,Taiwanese entrepreneur and politician,None,許勝發,None,None,Kuomintang
Q8278618,Ye Xiufeng,None,None,叶秀峰,None,None,Kuomintang
Q8278794,You Hwai-yin,Taiwanese banker and politician,None,游淮銀,None,None,Kuomintang
