from_id,to_id,relationship
Q12158205,Q8441,P279
Q12158205,Q41805469,P1889
Q12158205,Q171318,P31
Q10885666,Q12158205,P279
Q10885666,Q6581097,P1552
Q10885666,Q171318,P31
P1038,Q23909074,P2875
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
U598,Q76557,related
U598,Q12158205,related
U598,Q10885666,related
U598,P1038,related
Q76507,Q6581072,P1552
Q76507,Q21073936,P279
Q76507,Q171318,P31
Q5992509,Q28017469,P461
Q5992509,Q28017566,P279
Q5992509,Q6581072,P1552
Q5992509,Q171318,P31
P1038,Q23909074,P2875
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
U599,Q76507,related
U599,Q5992509,related
U599,P1038,related
Q76507,Q6581072,P1552
Q76507,Q21073936,P279
Q76507,Q171318,P31
Q6035384,Q28017470,P461
Q6035384,Q28017564,P279
Q6035384,Q6581072,P1552
Q6035384,Q1773710,P1889
Q6035384,Q171318,P31
P1038,Q23909074,P2875
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
U600,Q76507,related
U600,Q6035384,related
U600,P1038,related
Q76557,Q6581097,P1552
Q76557,Q21073936,P279
Q76557,Q602358,P1343
Q76557,Q41805469,P1889
Q76557,Q171318,P31
Q4120409,Q28017470,P461
Q4120409,Q6581097,P1552
Q4120409,Q28017564,P279
Q4120409,Q41805469,P1889
Q4120409,Q171318,P31
P1038,Q23909074,P2875
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
U601,Q76557,related
U601,Q4120409,related
U601,P1038,related
Q76507,Q6581072,P1552
Q76507,Q21073936,P279
Q76507,Q171318,P31
P1038,Q23909074,P2875
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
U602,Q76507,related
U602,P1038,related
U604,Q15889889,related
Q23045234,Q28017564,P461
Q23045234,Q28017470,P279
Q23045234,Q6581097,P1552
Q23045234,Q171318,P31
P1038,Q23909074,P2875
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
U605,Q23045234,related
U605,P1038,related
P1038,Q23909074,P2875
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
Q23045293,Q28017564,P461
Q23045293,Q28017470,P279
Q23045293,Q6581072,P1552
Q23045293,Q171318,P31
U606,P1038,related
U606,Q23045293,related
Q23045211,Q28017566,P461
Q23045211,Q28017469,P279
Q23045211,Q6581097,P1552
Q23045211,Q171318,P31
Q28017469,Q5992509,P461
Q28017469,Q76477,P279
Q28017469,Q3403377,P1889
Q28017469,Q171318,P31
P1038,Q23909074,P2875
